model,task,result,config params,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W16A16_LOGITS,mmlu,69.12280701754386,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5917.6,1942.51,6318.08,0.67,2.48
W16A16_LOGITS,mmlu,69.47368421052632,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6819.84,0.67,2.48
W16A16_LOGITS,mmlu_pro,37.142857142857146,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=1, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mmlu_pro', few_shots=5, scores_filter=None)",5920.8,549.01,6809.6,5.22,19.8
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5920.8,549.01,6819.84,0.67,2.48
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6819.84,0.67,2.48
W16A16_LOGITS,gsm8k,100.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='gsm8k', few_shots=5, scores_filter='exact_match,flexible-extract')",5920.8,549.01,6809.6,5.22,19.8
W16A16_LOGITS,mmlu,69.47368421052632,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6840.32,0.67,2.48
W16A16_LOGITS,mmlu_pro,37.142857142857146,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=1, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mmlu_pro', few_shots=5, scores_filter=None)",5920.8,549.01,6830.08,5.22,19.8
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5920.8,549.01,6840.32,0.67,2.48
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6840.32,0.67,2.48
W16A16_LOGITS,gsm8k,100.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='gsm8k', few_shots=5, scores_filter='exact_match,flexible-extract')",5920.8,549.01,6830.08,5.22,19.8
W16A16_LOGITS,mmlu,69.47368421052632,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6830.08,0.67,2.48
W16A16_LOGITS,mmlu_pro,37.142857142857146,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=1, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mmlu_pro', few_shots=5, scores_filter=None)",5920.8,549.01,6830.08,5.22,19.8
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5920.8,549.01,6840.32,0.67,2.48
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6840.32,0.67,2.48
W16A16_LOGITS,gsm8k,100.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='gsm8k', few_shots=5, scores_filter='exact_match,flexible-extract')",5920.8,549.01,6830.08,5.22,19.8
W16A16_LOGITS,humaneval,40.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='humaneval', few_shots=0, scores_filter=None)",5920.8,549.01,6819.84,5.22,19.8
W16A16_LOGITS,mbpp,40.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mbpp', few_shots=3, scores_filter=None)",5920.8,549.01,6819.84,5.22,19.8
W16A16_LOGITS,gpqa_main_zeroshot,20.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='gpqa_main_zeroshot', few_shots=0, scores_filter='acc,none')",5920.8,549.01,6830.08,0.67,2.48
W16A16_LOGITS,mmlu,69.47368421052632,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6830.08,0.67,2.48
W16A16_LOGITS,mmlu_pro,37.142857142857146,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=1, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mmlu_pro', few_shots=5, scores_filter=None)",5920.8,549.01,6819.84,5.22,19.8
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5920.8,549.01,6819.84,0.67,2.48
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5920.8,549.01,6819.84,0.67,2.48
W16A16_LOGITS,gsm8k,100.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='gsm8k', few_shots=5, scores_filter='exact_match,flexible-extract')",5920.8,549.01,6809.6,5.22,19.8
